point,start_i,start_j,walkers,boundary_case,charge_case,phi_V,sigma_boundary_V
center,25,25,200000,A_all+100,0_none,100,0.222891
corner,1,1,200000,A_all+100,0_none,100,0.198734
face,25,1,200000,A_all+100,0_none,100,0.202418
center,25,25,200000,A_all+100,U_uniform_total10C,102.947327,0.222891
corner,1,1,200000,A_all+100,U_uniform_total10C,100.0370812,0.198734
face,25,1,200000,A_all+100,U_uniform_total10C,100.2630866,0.202418
center,25,25,200000,A_all+100,G_gradient_top1_bottom0,100.1474277,0.222891
corner,1,1,200000,A_all+100,G_gradient_top1_bottom0,100.0006155,0.198734
face,25,1,200000,A_all+100,G_gradient_top1_bottom0,100.0131432,0.202418
center,25,25,200000,A_all+100,E_exp_center,100.0509551,0.222891
corner,1,1,200000,A_all+100,E_exp_center,100.0001128,0.198734
face,25,1,200000,A_all+100,E_exp_center,100.0020303,0.202418
center,25,25,200000,B_tb+100_lr-100,0_none,0.133,0.222891
corner,1,1,200000,B_tb+100_lr-100,0_none,0.029,0.198734
face,25,1,200000,B_tb+100_lr-100,0_none,-93.366,0.202418
center,25,25,200000,B_tb+100_lr-100,U_uniform_total10C,3.08032704,0.222891
corner,1,1,200000,B_tb+100_lr-100,U_uniform_total10C,0.06608116,0.198734
face,25,1,200000,B_tb+100_lr-100,U_uniform_total10C,-93.10291344,0.202418
center,25,25,200000,B_tb+100_lr-100,G_gradient_top1_bottom0,0.2804276792,0.222891
corner,1,1,200000,B_tb+100_lr-100,G_gradient_top1_bottom0,0.0296154884,0.198734
face,25,1,200000,B_tb+100_lr-100,G_gradient_top1_bottom0,-93.35285678,0.202418
center,25,25,200000,B_tb+100_lr-100,E_exp_center,0.1839550905,0.222891
corner,1,1,200000,B_tb+100_lr-100,E_exp_center,0.02911280642,0.198734
face,25,1,200000,B_tb+100_lr-100,E_exp_center,-93.3639697,0.202418
center,25,25,200000,C_top+left+200_bottom0_right-400,0_none,-0.416,0.546455
corner,1,1,200000,C_top+left+200_bottom0_right-400,0_none,99.818,0.281506
face,25,1,200000,C_top+left+200_bottom0_right-400,0_none,192.594,0.405657
center,25,25,200000,C_top+left+200_bottom0_right-400,U_uniform_total10C,2.53132704,0.546455
corner,1,1,200000,C_top+left+200_bottom0_right-400,U_uniform_total10C,99.85508116,0.281506
face,25,1,200000,C_top+left+200_bottom0_right-400,U_uniform_total10C,192.8570866,0.405657
center,25,25,200000,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,-0.2685723208,0.546455
corner,1,1,200000,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,99.81861549,0.281506
face,25,1,200000,C_top+left+200_bottom0_right-400,G_gradient_top1_bottom0,192.6071432,0.405657
center,25,25,200000,C_top+left+200_bottom0_right-400,E_exp_center,-0.3650449095,0.546455
corner,1,1,200000,C_top+left+200_bottom0_right-400,E_exp_center,99.81811281,0.281506
face,25,1,200000,C_top+left+200_bottom0_right-400,E_exp_center,192.5960303,0.405657
